listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade
OBS0101,Itapema-Meia_Praia-Sul-apartamento-JR-2Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Meia Praia",16,123,806.1,15,2851.62,2025-11,0.4286,0.4879,6,30,168.33,110.0,3,2025-11-11,0.28,2693.28,2045.52,crítico
OGD0401,Florianopolis-Beira_Mar-apartamento-TOP-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Centro",0,248,5159.76,18,5303.36,2025-11,0.7667,0.5814,23,30,279.13,199.25,4,2025-11-11,0.97,0.0,143.59999999999945,berlinda
OKA216,Florianopolis-Campeche-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Campeche",0,729,3143.92,25,2388.5,2025-11,0.6,0.4993,18,30,231.94,218.83,12,2025-11-11,1.32,0.0,-755.4200000000001,ok
PSOA0607,Penha-Beto_Carrero-apartamento-SUP-1Q,Carteira 3,SC,"Penha, SC","Penha, SC, Praia de Armação do Itapocoroi",0,93,2160.42,16,1970.83,2025-11,0.4,0.3803,12,30,202.25,152.75,16,2025-11-11,1.1,0.0,-189.59000000000015,berlinda
RFM0005,Santa_Cruz_Cabralia-Coroa_Vermelha-apartamento-SUP-2Q,Carteira 2,BA,"Santa Cruz Cabrália, BA","Santa Cruz Cabrália, BA, Coroa Vermelha",30,86,0.0,34,2989.06,2025-11,,0.3789,0,30,0.0,,0,2025-11-11,0.0,0.0,2989.06,crítico
RMI0007,Florianopolis-Ingleses_Praia-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",5,680,3172.89,58,2887.02,2025-11,0.68,0.3954,17,30,219.0,241.86,7,2025-11-11,1.1,1095.0,-285.8699999999999,berlinda
RUP0805,Blumenau-Central-apartamento-SUP-1Q,Carteira 4,SC,"Blumenau, SC","Blumenau, SC, Escola Agrícola",2,402,460.0,61,968.38,2025-11,0.1429,0.2419,4,30,134.5,124.89,19,2025-11-11,0.48,269.0,508.38,crítico
SFR0401,Bombinhas-Centro-apartamento-SUP-1Q,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Centro",0,37,4567.43,34,3528.77,2025-11,0.8,0.5429,24,30,213.17,167.5,4,2025-11-11,1.29,0.0,-1038.6600000000003,ok
SHC1103,Balneario_Picarras-Geral-apartamento-TOP-2Q,Carteira 6,SC,"Balneário Piçarras, SC","Balneário Piçarras, SC, Itacolomi",5,320,3550.66,35,2411.71,2025-11,0.6,0.3346,15,30,329.4,400.0,8,2025-11-11,1.47,1647.0,-1138.9499999999998,ok
SPJ0106,Especial-SPJ-apartamento-TOP-1Q,Carteira 5,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,310,5145.28,15,6230.75,2025-11,0.7,0.6136,21,30,308.86,273.0,7,2025-11-11,0.83,0.0,1085.4700000000003,berlinda
SPJ0202,Especial-SPJ-apartamento-TOP-1Q,Carteira 5,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,516,6164.01,15,6230.75,2025-11,0.8667,0.6136,26,30,349.58,210.0,3,2025-11-11,0.99,0.0,66.73999999999978,berlinda
SPJ0402,Especial-SPJ-apartamento-TOP-1Q,Carteira 5,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,385,6156.42,15,6230.75,2025-11,0.8333,0.6136,25,30,295.56,283.5,4,2025-11-11,0.99,0.0,74.32999999999993,berlinda
SVS0219,Brasilia-Asa_Sul-apartamento-SUP-1Q,Carteira 1_sys-price,DF,"Brasília, DF","Brasília, DF, Setor Sudoeste",1,222,4879.1,139,3635.09,2025-11,0.7586,0.7138,22,30,270.41,210.33,3,2025-11-11,1.34,270.41,-1244.0100000000002,ok
VDI208,Florianopolis-Jurere_Longe-apartamento-SUP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",30,1983,0.0,23,5861.6,2025-11,,0.5195,0,30,0.0,,0,2025-11-11,0.0,0.0,5861.6,crítico
ZNB1304,Salvador-Barra-apartamento-SUP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Barra",2,172,3515.44,203,3119.92,2025-11,0.8214,0.546,23,30,200.35,217.2,5,2025-11-11,1.13,400.7,-395.52,ok
ACO1103,Balneario_Camboriu-Centro-apartamento-TOP-2Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",3,107,5851.52,33,5387.18,2025-11,0.8519,0.5106,23,30,338.04,222.25,4,2025-11-11,1.09,1014.1200000000001,-464.34000000000015,berlinda
AIR1414,Porto_Alegre-Menino_Deus-apartamento-TOP-1Q,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Praia de Belas",0,431,0.0,28,2292.25,2025-11,0.0667,0.4217,2,30,333.0,333.0,17,2025-11-11,0.0,0.0,2292.25,crítico
BLB1306,Salvador-Barra-apartamento-SUP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Barra",0,428,2487.28,203,3119.92,2025-11,0.5333,0.546,16,30,193.56,247.36,11,2025-11-11,0.8,0.0,632.6399999999999,atenção
CLF0204,Salvador-Flamengo-apartamento-SUP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Stella Maris",10,16,191.71,25,1394.67,2025-11,0.05,0.3333,1,30,250.0,220.0,12,2025-11-11,0.14,2500.0,1202.96,crítico
CTD0101,Penha-Longe-apartamento-JR-2Q,Carteira 6,SC,"Penha, SC","Penha, SC, Centro",0,60,2604.69,22,2363.78,2025-11,0.8333,0.4095,25,30,124.44,122.67,3,2025-11-11,1.1,0.0,-240.90999999999985,ok
DMS0106,Gramado-Centro-apartamento-TOP-2Q,Carteira 4,RS,"Gramado, RS","Gramado, RS, Bairro Belverede",0,136,10322.24,55,10638.6,2025-11,0.7,0.6864,21,30,620.43,446.29,7,2025-11-11,0.97,0.0,316.3600000000006,berlinda
EDE,Florianopolis-Cachoeira_Bom_Jesus-apartamento-JR-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Cachoeira do Bom Jesus",0,281,3945.43,15,2802.96,2025-11,0.6667,0.3457,20,30,261.3,261.75,4,2025-11-11,1.41,0.0,-1142.4699999999998,ok
ELF0303,Bombinhas-Bombas-apartamento-SUP-1Q,Especial,SC,"Bombinhas, SC","Bombinhas, SC, José Amândio",3,172,4381.48,49,2579.11,2025-11,0.963,0.44,26,30,220.58,,0,2025-11-11,1.7,661.74,-1802.3699999999994,ok
ERJ101,Balneario_Camboriu-Norte-apartamento-JR-4Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",6,772,3447.29,108,4062.78,2025-11,0.4583,0.4159,11,30,384.45,255.4,10,2025-11-11,0.85,2306.7,615.4900000000002,berlinda
ERV0101,Balneario_Camboriu-Centro-apartamento-SUP-3Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",11,432,5442.98,75,3720.25,2025-11,0.9474,0.4048,18,30,350.67,176.0,1,2025-11-11,1.46,3857.3700000000003,-1722.7299999999996,ok
IFT1308,Itapema-Meia_Praia-Norte-apartamento-TOP-1Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Meia Praia",0,186,4025.03,22,3277.09,2025-11,0.7333,0.375,22,30,222.86,173.67,6,2025-11-11,1.23,0.0,-747.94,ok
ILC2412,Especial-ILC-hotel-JR-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",0,1971,11466.51,16,9179.91,2025-11,0.7333,0.5499,22,30,683.86,508.0,7,2025-11-11,1.25,0.0,-2286.6000000000004,ok
JBV141,Especial-JBV-hotel-TOP-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",10,1549,6274.17,34,10718.98,2025-11,0.75,0.6611,15,30,535.2,,0,2025-11-11,0.59,5352.0,4444.8099999999995,atenção
MHF1703,Itapema-Canto_Praia-apartamento-TOP-1Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",0,485,3522.08,17,2947.0,2025-11,0.6667,0.4478,20,30,210.55,218.7,10,2025-11-11,1.2,0.0,-575.0799999999999,ok
