listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade,dias_disponiveis,dias_necessarios,potencial_max,potencial_realista,score_bruto,score_normalizado,faixa_prioridade,score_risco_bruto,status_operacional
CPM0303,Sao_Paulo-Pinheiros-apartamento-SUP-1Q,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Pinheiros",0,155,3333.67,383,3478.88,2025-10,0.6452,0.5536,20,31,196.05,170.0,7,2025-10-17,0.96,0.0,145.21000000000004,berlinda,7,1.0,4523.67,4101.4580000000005,7.0958756841282264,42.89544235924933,Média,,🟢 Abaixo viável
EGI001,Imbituba-Praia_do_Rosa-casa-TOP-3Q,Carteira 6,SC,"Imbituba, SC","Imbituba, SC, Ibiraquera",9,748,3884.91,13,4768.93,2025-10,0.5455,0.3828,12,31,375.25,351.0,3,2025-10-17,0.81,3377.25,884.0200000000004,berlinda,3,3.0,4937.91,4459.3215,21.68837454103961,95.97855227882037,Crítico,,🟠 Abaixo precisa esforço
ELF0407,Bombinhas-Bombas-apartamento-SUP-1Q,Especial,SC,"Bombinhas, SC","Bombinhas, SC, José Amândio",1,141,1655.52,34,1847.47,2025-10,0.3,0.3256,9,31,228.0,228.0,10,2025-10-17,0.9,228.0,191.95000000000005,berlinda,10,1.0,3935.52,2339.52,23.688936762166644,97.85522788203752,Crítico,,🟢 Abaixo viável
FLT0001,Florianopolis-Centrao-apartamento-SIM-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Centro",0,180,1277.23,13,1444.15,2025-10,0.4839,0.3607,15,31,99.6,85.82,11,2025-10-17,0.88,0.0,166.92000000000007,berlinda,11,2.0,2221.25,1734.041278,4.959690613855903,24.396782841823057,Média,,🟢 Abaixo viável
RML605,Imbituba-Centro-apartamento-JR-3Q,Carteira 6,SC,"Imbituba, SC","Imbituba, SC, centro",7,1041,1414.33,7,1576.66,2025-10,0.2917,0.1933,7,31,244.0,228.0,6,2025-10-17,0.9,1708.0,162.33000000000015,berlinda,6,1.0,2782.33,1813.3755999999998,23.47445866578719,96.7828418230563,Crítico,,🟢 Abaixo viável
RUP1005,Blumenau-Central-apartamento-SUP-1Q,Carteira 4,SC,"Blumenau, SC","Blumenau, SC, Escola Agrícola",3,461,6262.8,77,7658.5,2025-10,0.5357,0.5504,15,31,471.0,136.0,5,2025-10-17,0.82,1413.0,1395.6999999999998,berlinda,5,11.0,6942.8,6627.076,2.253173241852487,4.021447721179625,Baixa,,🟠 Abaixo precisa esforço
RHE201,Bombinhas-Mariscal-casa-JR-2Q,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Morrinhos",1,544,1394.03,10,1597.15,2025-10,0.4333,0.2192,13,31,134.0,113.13,8,2025-10-17,0.87,134.0,203.12000000000012,berlinda,8,2.0,2299.0699999999997,1786.183832,7.193740600444543,43.69973190348526,Média,,🟢 Abaixo viável
IAA0502,Recife-Boa_Viagem-apartamento-TOP-1Q,Carteira 2,PE,"Recife, PE","Recife, PE, Boa Viagem",2,567,4442.18,52,4736.44,2025-10,0.8621,0.674,25,31,212.36,265.0,1,2025-10-17,0.94,424.72,294.2599999999993,berlinda,1,2.0,4707.18,4670.6365000000005,8.231804899882594,54.6916890080429,Alta,,🟠 Abaixo precisa esforço
SBA0401,Maceio-Jatiuca-apartamento-JR-3Q,Carteira 2,AL,"Maceió, AL","Maceió, AL, Jatiúca",9,607,3470.46,18,4214.09,2025-10,0.7273,0.6134,16,31,321.13,,0,2025-10-17,0.82,2890.17,743.6300000000001,berlinda,0,0.0,,,,,Baixa,,🔴 Abaixo inviável
SPJ0502,Especial-SPJ-apartamento-TOP-1Q,Carteira 5,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,352,3876.07,16,4455.71,2025-10,0.7419,0.5519,23,31,219.7,141.57,7,2025-10-17,0.87,0.0,579.6399999999999,berlinda,7,5.0,4867.06,4611.285481,3.68334720168054,12.332439678284182,Baixa,,🟢 Abaixo viável
