listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade,dias_disponiveis,dias_necessarios,potencial_max,potencial_realista,score_bruto,score_normalizado,faixa_prioridade,status_operacional,score_risco_bruto
LIV1509,Salvador-Graca-apartamento-TOP-1Q,Especial,BA,"Salvador, BA","Salvador, BA, Vitória",3,22,3350.59,15,3581.56,2025-11,0.6667,0.5526,18,30,234.06,260.11,9,2025-11-11,0.94,702.1800000000001,230.9699999999998,berlinda,9,1.0,5691.58,4911.328033,16.774144981516418,81.61209068010076,Crítico,🟢 Abaixo viável,
NWT0423,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,337,4457.88,40,4657.0,2025-11,0.5,0.5442,15,30,308.06,288.0,11,2025-11-11,0.96,0.0,199.1199999999999,berlinda,11,1.0,7625.88,6041.88,12.314056259394453,64.73551637279597,Alta,🟢 Abaixo viável,
PSOA0512,Penha-Beto_Carrero-apartamento-TOP-1Q,Carteira 3,SC,"Penha, SC","Penha, SC, Praia de Armação do Itapocoroi",0,99,3535.86,16,4132.99,2025-11,0.7333,0.6017,22,30,194.95,171.71,7,2025-11-11,0.86,0.0,597.1299999999997,berlinda,7,4.0,4737.83,4417.264601,6.202119549043182,25.440806045340054,Média,🟢 Abaixo viável,
SOA0705,Salvador-Boca_do_Rio-apartamento-SUP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Boca do Rio",0,327,1983.99,33,2261.0,2025-11,0.6,0.4852,18,30,135.94,147.92,12,2025-11-11,0.88,0.0,277.01,berlinda,12,2.0,3759.0299999999997,3049.014,9.061326669615212,46.85138539042821,Média,🟢 Abaixo viável,
BSO0207,Itajai-Praia_Brava-apartamento-SUP-1Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Praia dos Amores",0,192,2679.26,10,2766.14,2025-11,0.5667,0.5032,17,30,188.24,139.27,11,2025-11-11,0.97,0.0,86.87999999999965,berlinda,11,1.0,4211.2300000000005,3547.427399,4.37424627820716,12.34256926952141,Baixa,🟢 Abaixo viável,
EAR0411,Florianopolis-Ingleses_Norte-apartamento-TOP-3Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",6,318,5329.31,16,5500.55,2025-11,0.5417,0.4157,13,30,469.46,521.0,7,2025-11-11,0.97,2816.7599999999998,171.23999999999978,berlinda,7,1.0,8976.310000000001,7304.8899,16.219476234194744,79.84886649874056,Alta,🟢 Abaixo viável,
BLS1253,Goiania-Central-apartamento-TOP-1Q,Carteira 1_sys-price,GO,"Goiânia, GO","Goiânia, GO, Setor Marista",0,772,1511.98,53,1579.58,2025-11,0.3667,0.3282,11,30,167.45,170.25,16,2025-11-11,0.96,0.0,67.59999999999991,berlinda,16,1.0,4235.98,2510.8708,7.286050722343903,32.7455919395466,Média,🟢 Abaixo viável,
ILC2307,Especial-ILC-hotel-TOP-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",8,1776,10180.5,30,11132.4,2025-11,0.7727,0.6976,17,30,744.53,528.0,2,2025-11-11,0.91,5956.24,951.8999999999996,berlinda,2,2.0,11236.5,10996.4712,22.57389242211921,89.16876574307305,Crítico,🟠 Abaixo precisa esforço,
LTT803,Balneario_Picarras-Geral-apartamento-TOP-3Q,Carteira 6,SC,"Balneário Piçarras, SC","Balneário Piçarras, SC, Itacolomi",0,536,3122.09,16,3174.9,2025-11,0.3333,0.2632,10,30,400.9,214.67,9,2025-11-11,0.98,0.0,52.809999999999945,berlinda,9,1.0,5054.12,3766.035599,3.570733786890921,8.060453400503778,Baixa,🟢 Abaixo viável,
CAP0302,Gramado-Carniel-apartamento-TOP-2Q,Carteira 4,RS,"Gramado, RS","Gramado, RS, Carniel",0,690,7158.23,104,8855.36,2025-11,0.6333,0.6277,19,30,460.5,374.0,5,2025-11-11,0.81,0.0,1697.130000000001,berlinda,5,5.0,9028.23,8342.501,14.335422162396569,73.80352644836272,Alta,🟠 Abaixo precisa esforço,
CNU202,Florianopolis-Ingleses_Norte-apartamento-JR-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",0,1187,2062.97,27,2504.17,2025-11,0.4,0.4002,12,30,231.42,201.83,12,2025-11-11,0.82,0.0,441.2000000000003,berlinda,12,3.0,4484.93,3031.754,11.853214970762112,61.96473551637279,Alta,🟢 Abaixo viável,
JBV134,Especial-JBV-hotel-JR-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",4,1971,7306.55,25,9026.89,2025-11,0.6923,0.58,18,30,482.78,422.83,6,2025-11-11,0.81,1931.12,1720.3399999999992,berlinda,6,5.0,9843.53,9062.901254,16.116544284908752,79.34508816120906,Alta,🟢 Abaixo viável,
PSO0501,Penha-Beto_Carrero-apartamento-TOP-1Q,Carteira 3,SC,"Penha, SC","Penha, SC, Praia de Armação do Itapocoroi",0,92,3866.23,16,4132.99,2025-11,0.7,0.6017,21,30,212.38,174.33,6,2025-11-11,0.94,0.0,266.75999999999976,berlinda,6,2.0,4912.21,4598.416,5.6259839486667,20.65491183879093,Média,🟢 Abaixo viável,
MHF1202,Itapema-Canto_Praia-apartamento-TOP-2Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",6,309,2782.22,14,3094.94,2025-11,0.4167,0.2903,10,30,284.0,314.22,9,2025-11-11,0.9,1704.0,312.72000000000025,berlinda,9,1.0,5610.200000000001,3960.639266,31.7495261297473,95.96977329974811,Crítico,🟢 Abaixo viável,
NWT0615,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",1,211,4322.59,40,4657.0,2025-11,0.5517,0.5442,16,30,325.13,284.63,8,2025-11-11,0.93,325.13,334.40999999999985,berlinda,8,2.0,6599.63,5578.832968000001,10.219359920549705,54.15617128463476,Alta,🟢 Abaixo viável,
SIP0709,Salvador-Piata-apartamento-SUP-1Q,Carteira 5,BA,"Salvador, BA","Salvador, BA, Itapuã",3,64,1475.66,22,1510.83,2025-11,0.4074,0.4147,11,30,150.55,160.43,14,2025-11-11,0.98,451.65000000000003,35.169999999999845,berlinda,14,1.0,3721.6800000000003,2390.688548,3.7345850294208986,9.06801007556675,Baixa,🟢 Abaixo viável,
