listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,data_da_execucao,atingimento_meta,grupo_criticidade,falta_meta,dias_necessarios,potencial_max,potencial_realista,score_bruto,score_normalizado,prioridade,status_operacional
WSH0801,Curitiba-Batel-apartamento-SUP-1Q,Carteira 4,PR,"Curitiba, PR","Curitiba, PR, Bigorrilho",2,182,1907.56,192,1948.84,2025-10,0.3793,0.3905,11,31,206.18,199.47,17,2025-10-06,0.98,berlinda,41.27999999999997,1.0,5298.549999999999,3193.762507,4.225139878081317,31.963470319634702,Baixa,🟢 Abaixo viável
NWT0613,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,184,4412.11,30,4057.04,2025-10,0.6774,0.5207,21,31,266.48,255.5,6,2025-10-06,1.09,berlinda,-355.0699999999997,-1.0,5945.11,5450.5642,22.36122517894818,90.18264840182648,Crítica,🟢 Acima com folga
AGS0642,Bombinhas-Centro-casa-SUP-4Q,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Centro",17,509,4075.59,21,4476.95,2025-10,0.9286,0.2739,13,31,427.46,,0,2025-10-06,0.91,berlinda,401.3599999999997,0.0,,,,,Baixa,🔴 Abaixo inviável
JBV208,Especial-JBV-hotel-TOP-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",0,1038,6614.12,30,7567.62,2025-10,0.5806,0.5968,18,31,459.44,511.0,10,2025-10-06,0.87,berlinda,953.5,2.0,11724.119999999999,9580.986,32.192320703206555,96.11872146118722,Crítica,🟢 Abaixo viável
JRR309,Florianopolis-Jurere_Tradicional-apartamento-TOP-3Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",2,111,5305.71,12,6110.01,2025-10,0.4483,0.3248,13,31,502.08,458.77,13,2025-10-06,0.87,berlinda,804.3000000000002,2.0,11269.720000000001,7979.375683,30.195426112232237,95.662100456621,Crítica,🟢 Abaixo viável
PLN0415,Brasilia-Lago_Norte-apartamento-SUP-1Q,Carteira 1,DF,"Brasília, DF","Guará, DF, Centro",0,730,2309.58,7,2276.68,2025-10,0.5161,0.2542,16,31,163.56,172.23,13,2025-10-06,1.01,berlinda,-32.90000000000009,-0.0,4548.57,3465.122739,-2.488872832369949,20.54794520547945,Baixa,🟢 Acima com folga
ESE0102,Balneario_Camboriu-Norte-apartamento-TOP-2Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",7,237,3887.01,11,3884.57,2025-10,0.7083,0.3061,17,31,288.0,180.0,3,2025-10-06,1.0,berlinda,-2.4400000000000546,-0.0,4427.01,4269.492,-0.11306270706925341,24.429223744292237,Baixa,🟡 Acima com risco
RMO0602,Salvador-Ondina_Rio_Vermelho-apartamento-SUP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Rio Vermelho",0,308,1540.83,51,1921.2,2025-10,0.3871,0.3561,12,31,154.42,145.63,19,2025-10-06,0.8,berlinda,380.3700000000001,3.0,4307.799999999999,2611.924087,9.610882625442432,52.28310502283106,Média,🟢 Abaixo viável
BRI0102,Florianopolis-Jurere_Longe-apartamento-SUP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",8,70,2371.9,14,2542.7,2025-10,0.5652,0.2638,13,31,218.08,201.75,8,2025-10-06,0.93,berlinda,170.79999999999973,1.0,3985.9,3284.1328000000003,13.552090297715006,70.09132420091323,Média,🟢 Abaixo viável
TXP0606,Goiania-Central-apartamento-SUP-1Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Bueno",1,741,844.44,136,993.18,2025-10,0.2,0.2493,6,31,181.0,221.95,22,2025-10-06,0.85,berlinda,148.7399999999999,1.0,5727.34,1821.02,33.23953663988399,96.80365296803653,Crítica,🟢 Abaixo viável
DBR0805,Itapema-Praia_Itapema-apartamento-TOP-2Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Morretes",0,637,2764.21,15,3385.55,2025-10,0.5484,0.2893,17,31,197.65,178.15,13,2025-10-06,0.82,berlinda,621.3400000000001,4.0,5080.16,4034.27698,8.17383593507702,44.74885844748858,Baixa,🟢 Abaixo viável
CVKB0006,São_Miguel_dos_Milagres-Geral-apartamento-SUP-1Q,Carteira 2,AL,"São Miguel dos Milagres, AL","São Miguel dos Milagres, AL, Centro",0,377,4058.58,16,3932.95,2025-10,0.6452,0.444,20,31,252.0,240.78,9,2025-10-06,1.03,berlinda,-125.63000000000011,-0.0,6225.6,5456.741304,-7.691221958072192,14.383561643835616,Baixa,🟢 Acima com folga
NWT0904,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,190,3700.19,30,4057.04,2025-10,0.5484,0.5207,17,31,257.24,250.0,10,2025-10-06,0.91,berlinda,356.8499999999999,2.0,6200.1900000000005,5071.1900000000005,10.99477698026147,57.534246575342465,Média,🟢 Abaixo viável
NWT1013,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,154,3681.5,30,4057.04,2025-10,0.4516,0.5207,14,31,317.67,282.36,14,2025-10-06,0.91,berlinda,375.53999999999996,2.0,7634.54,5466.692864000001,13.068329915406306,67.35159817351598,Média,🟢 Abaixo viável
TSO0311,Balneario_Camboriu-Longe-apartamento-MASTER-2Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Estados",5,77,4647.47,28,4436.15,2025-10,0.7692,0.3457,20,31,287.05,250.4,5,2025-10-06,1.05,berlinda,-211.32000000000062,-0.0,5899.47,5610.508400000001,-11.928029485026466,8.904109589041095,Baixa,🟢 Acima com folga
BSL190,Penha-Praia-casa-JR-5Q,Carteira 6,SC,"Penha, SC","Penha, SC, Penha",5,602,4131.84,14,4043.85,2025-10,0.4615,0.2897,12,31,491.83,321.44,9,2025-10-06,1.02,berlinda,-87.99000000000024,-0.0,7024.8,5466.94104,-6.994202455580715,14.840182648401825,Baixa,🟢 Acima com folga
MHB0302,Florianopolis-Novo_Campeche-apartamento-SUP-3Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Campeche",7,97,3843.42,47,4464.63,2025-10,0.625,0.3326,15,31,269.47,266.0,9,2025-10-06,0.86,berlinda,621.21,3.0,6237.42,5339.67,12.337107442274053,64.15525114155251,Média,🟢 Abaixo viável
RMA101,Florianopolis-Ingleses_Praia-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",5,838,1651.08,22,2049.33,2025-10,0.4231,0.3312,11,31,199.73,164.58,12,2025-10-06,0.81,berlinda,398.25,3.0,3626.04,2486.685576,10.661042877428233,56.16438356164384,Média,🟢 Abaixo viável
VGZ0004,Imbituba-Praia_do_Rosa-casa-SUP-1Q,Carteira 6,SC,"Imbituba, SC","Imbituba, SC, Ibiraquera",0,589,1821.62,42,1742.54,2025-10,0.4839,0.1746,15,31,153.0,130.79,14,2025-10-06,1.05,berlinda,-79.07999999999993,-0.0,3652.68,2707.6699339999996,-5.935515511839033,15.753424657534246,Baixa,🟢 Acima com folga
ILC2403,Especial-ILC-hotel-JR-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",7,1748,6133.45,16,5851.91,2025-10,0.5417,0.4525,13,31,453.63,449.83,6,2025-10-06,1.05,berlinda,-281.53999999999996,-0.0,8832.43,7595.487466,-21.641675658033016,2.5114155251141552,Baixa,🟢 Acima com folga
MOR0402,Florianopolis-Jurere_Tradicional-apartamento-TOP-3Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",7,660,6381.84,12,6110.01,2025-10,0.6667,0.3248,16,31,573.0,504.0,7,2025-10-06,1.04,berlinda,-271.8299999999999,-0.0,9909.84,8733.9576,-22.422601599670042,2.28310502283105,Baixa,🟢 Acima com folga
NWT0617,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,184,3997.18,30,4057.04,2025-10,0.5806,0.5207,18,31,257.61,260.23,13,2025-10-06,0.99,berlinda,59.86000000000013,1.0,7380.17,5961.343994,3.8395894050835175,31.05022831050228,Baixa,🟢 Abaixo viável
RPR056,Penha-Praia-casa-JR-3Q,Carteira 6,SC,"Penha, SC","Penha, SC, penha",4,609,1654.66,23,2040.42,2025-10,0.4815,0.2229,13,31,198.0,188.7,10,2025-10-06,0.81,berlinda,385.76,3.0,3541.66,2563.2505,11.891818351123785,63.4703196347032,Média,🟢 Abaixo viável
EPP0602,Guarapari-Praia_do_Morro-apartamento-JR-3Q,Carteira 4,ES,"Guarapari, ES","Guarapari, ES, Praia do Morro",0,168,2840.39,40,2661.84,2025-10,0.6129,0.3731,19,31,200.05,171.89,9,2025-10-06,1.07,berlinda,-178.54999999999973,-1.0,4387.4,3788.552429,11.52997907462505,61.64383561643836,Média,🟢 Acima com folga
HOA0704,Salvador-Ondina_Rio_Vermelho-apartamento-SUP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Ondina",2,70,1977.7,51,1921.2,2025-10,0.5517,0.3561,16,31,167.06,139.25,12,2025-10-06,1.03,berlinda,-56.5,-0.0,3648.7,2899.5907,-4.09516187799292,17.80821917808219,Baixa,🟢 Acima com folga
PTB0105,Cabo_Frio-Pero_Longe-casa-JR-2Q,Carteira 4,RJ,"Cabo Frio, RJ","Cabo Frio, RJ, OGIVA",2,259,2320.04,12,2845.48,2025-10,0.4828,0.3398,14,31,179.0,153.5,12,2025-10-06,0.82,berlinda,525.44,4.0,4162.04,3209.3576,7.08624204000731,39.04109589041096,Baixa,🟢 Abaixo viável
RAG0406,Balneario_Picarras-Geral-apartamento-JR-2Q,Carteira 6,SC,"Balneário Piçarras, SC","Balneário Piçarras, SC, Itacolomi",4,219,1601.8,18,1547.47,2025-10,0.4815,0.1554,13,31,128.33,124.58,12,2025-10-06,1.04,berlinda,-54.32999999999993,-0.0,3096.76,2321.62324,-4.373869218789374,16.894977168949772,Baixa,🟢 Acima com folga
RES201,Florianopolis-Ingleses_Praia-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",0,827,2136.02,22,2049.33,2025-10,0.3226,0.3312,10,31,253.9,204.47,15,2025-10-06,1.04,berlinda,-86.69000000000005,-0.0,5203.07,3125.45033,-8.649414345176233,12.32876712328767,Baixa,🟢 Acima com folga
ERT0210,Florianopolis-Jurere_Tradicional-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,250,4834.14,17,4453.11,2025-10,0.8387,0.3745,26,31,233.31,240.8,5,2025-10-06,1.09,berlinda,-381.03000000000065,-1.0,6038.14,5843.934800000001,20.604032687268038,86.7579908675799,Crítica,🟢 Acima com folga
ILC3103,Especial-ILC-hotel-JR-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",0,1463,4983.72,16,5851.91,2025-10,0.4516,0.4525,14,31,451.43,399.73,15,2025-10-06,0.85,berlinda,868.1899999999996,3.0,10979.670000000002,7691.49102,19.767995332578018,85.84474885844749,Crítica,🟢 Abaixo viável
COL102,Bombinhas-Bombas-apartamento-SUP-3Q,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Bombas",6,1063,3333.22,11,3270.12,2025-10,1.0,0.272,25,31,198.0,,0,2025-10-06,1.02,berlinda,-63.09999999999991,0.0,,,,,Baixa,🟡 Acima sem ação
CST0905,Itajai-Centro-apartamento-JR-1Q,Carteira 6,SC,"Itajaí, SC","Itajaí, SC, Centro",1,85,1401.8,12,1741.63,2025-10,0.4333,0.3686,13,31,134.23,121.81,16,2025-10-06,0.8,berlinda,339.83000000000015,3.0,3350.76,2246.284368,7.922595939818832,43.37899543378995,Baixa,🟢 Abaixo viável
DLH0302,Gramado-Centro-apartamento-TOP-2Q,Carteira 4,RS,"Gramado, RS","Gramado, RS, Centro",3,448,4798.29,62,4928.6,2025-10,0.4643,0.4141,13,31,475.46,373.21,14,2025-10-06,0.97,berlinda,130.3100000000004,1.0,10023.23,7224.229642,9.867507020249185,53.88127853881278,Média,🟢 Abaixo viável
FDL103,Bombinhas-Bombas-apartamento-SIM-2Q,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Bombas",0,1212,1661.93,32,1671.56,2025-10,0.5161,0.3076,16,31,115.38,117.3,10,2025-10-06,0.99,berlinda,9.629999999999882,1.0,2834.9300000000003,2267.3153,0.6757753236497562,25.570776255707763,Baixa,🟢 Abaixo viável
JRR303,Florianopolis-Jurere_Tradicional-apartamento-TOP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,1400,5449.1,15,5241.92,2025-10,0.6774,0.3487,21,31,348.48,335.63,8,2025-10-06,1.04,berlinda,-207.1800000000003,-0.0,8134.14,7267.946096000001,-13.26533472468105,7.534246575342466,Baixa,🟢 Acima com folga
