listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,dias_pmin,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade
POL406,Balneario_Camboriu-Centro-apartamento-SUP-3Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",0,415,6059.33,89,4292.03,2025-11,0.7,0.4983,21,30,346.05,161.0,2,0,2025-11-24,1.41,0.0,-1767.3000000000002,ok
PRY0101,Porto_Seguro-Pataxos-apartamento-SUP-2Q,Carteira 2,BA,"Porto Seguro, BA","Porto Seguro, BA, Taperapuã",0,17,3783.66,44,3643.3,2025-11,0.7333,0.5205,22,30,224.27,313.0,6,6,2025-11-24,1.04,0.0,-140.35999999999967,berlinda
PSMC003,Camaçari-Monte_Gordo-apartamento-SUP-2Q,Carteira 2,BA,"Camaçari, BA","Camaçari, BA, Guarajuba",10,107,1681.24,22,3472.56,2025-11,0.3,0.3932,6,30,324.67,313.0,6,24,2025-11-24,0.48,3246.7000000000003,1791.32,crítico
RFM0019,Santa_Cruz_Cabralia-Coroa_Vermelha-apartamento-SUP-2Q,Carteira 2,BA,"Santa Cruz Cabrália, BA","Santa Cruz Cabrália, BA, Coroa Vermelha",0,367,0.0,51,3298.0,2025-11,0.0,0.5248,0,30,0.0,250.0,6,30,2025-11-24,0.0,0.0,3298.0,crítico
ROT1001,Itapema-Meia_Praia-Sul-apartamento-JR-2Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Meia Praia",9,676,1876.79,19,2238.48,2025-11,0.5714,0.5187,12,30,169.0,110.0,1,0,2025-11-24,0.84,1521.0,361.69000000000005,berlinda
RTG208,Florianopolis-Ingleses_Norte-apartamento-SUP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",1,1761,4011.41,86,2552.46,2025-11,0.7586,0.3604,22,30,249.09,180.0,3,0,2025-11-24,1.57,249.09,-1458.9499999999998,ok
SOT0202,Florianopolis-Jurere_Tradicional-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,277,5567.31,19,6996.21,2025-11,0.6333,0.704,19,30,420.53,,0,0,2025-11-24,0.8,0.0,1428.8999999999996,atenção
VEC120,Bombinhas-Centro-apartamento-SUP-1Q,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Centro",1,1040,5156.78,35,3520.7,2025-11,0.9655,0.6125,28,30,250.14,,0,0,2025-11-24,1.46,250.14,-1636.08,ok
VENB504,Porto_Alegre-Cidade_Baixa-apartamento-SUP-1Q,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Azenha",4,778,1494.46,46,2896.8,2025-11,0.4231,0.6357,11,30,152.91,140.0,6,0,2025-11-24,0.52,611.64,1402.3400000000001,atenção
VLP0222,Mata_de_Sao_Joao-Praia_do_Forte_Longe-apartamento-SUP-1Q,Carteira 2,BA,"Mata de São João, BA","Mata de São João, BA, Açu da Torre",4,680,3332.49,14,1925.6,2025-11,0.5769,0.3598,15,30,264.47,247.83,6,0,2025-11-24,1.73,1057.88,-1406.8899999999999,ok
WBU3015,Goiania-Central-apartamento-TOP-1Q,Carteira 1_sys-price,GO,"Goiânia, GO","Goiânia, GO, Setor Bueno",10,232,1916.98,54,3159.15,2025-11,0.65,0.5673,13,30,170.93,178.5,2,0,2025-11-24,0.61,1709.3000000000002,1242.17,atenção
BFT2905,Goiania-Leste-apartamento-SUP-1Q,Carteira 1_sys-price,GO,"Goiânia, GO","Goiânia, GO, Jardim Goiás",0,268,2758.08,82,2407.54,2025-11,0.7667,0.5448,23,30,154.96,176.33,3,0,2025-11-24,1.15,0.0,-350.53999999999996,ok
BLB1501,Salvador-Barra-apartamento-SUP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Barra",3,1,3702.96,212,4248.24,2025-11,0.8519,0.7112,23,30,194.87,,0,0,2025-11-24,0.87,584.61,545.2799999999997,berlinda
CLE1203,Porto_Belo-Geral-apartamento-SUP-2Q,Carteira 6,SC,"Porto Belo, SC","Porto Belo, SC, Perequê",2,255,4342.01,36,1884.19,2025-11,0.9643,0.3871,27,30,197.44,158.0,1,0,2025-11-24,2.3,394.88,-2457.82,meta_subestimada
CSC0212,Florianopolis-Ingleses_Norte-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses Norte",0,93,5102.64,57,2409.04,2025-11,0.8333,0.5502,25,30,243.96,243.0,1,7,2025-11-24,2.12,0.0,-2693.6000000000004,meta_subestimada
DVM0202,Florianopolis-Itacorubi-apartamento-JR-2Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Itacorubi",30,316,0.0,26,2943.11,2025-11,,0.6297,0,30,0.0,,0,24,2025-11-24,0.0,0.0,2943.11,crítico
EIO203,Itapema-Meia_Praia-Norte-apartamento-JR-3Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Meia Praia",8,876,3252.26,28,1912.44,2025-11,0.7727,0.3958,17,30,240.76,120.0,1,0,2025-11-24,1.7,1926.08,-1339.8200000000002,ok
EJF0702,Balneario_Camboriu-Intermediario-apartamento-SUP-2Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",8,689,3394.9,93,3620.15,2025-11,0.9091,0.5008,20,30,221.95,,0,0,2025-11-24,0.94,1775.6,225.25,berlinda
ELY0201,Florianopolis-Beira_Mar-apartamento-JR-2Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Centro",0,710,6902.09,31,5229.55,2025-11,0.9333,0.687,28,30,327.54,168.5,2,0,2025-11-24,1.32,0.0,-1672.54,ok
IAA1003,Recife-Boa_Viagem-apartamento-TOP-1Q,Carteira 2,PE,"Recife, PE","Recife, PE, Boa Viagem",0,598,3332.86,40,4981.09,2025-11,0.6,0.8137,18,30,223.5,197.8,5,0,2025-11-24,0.67,0.0,1648.23,atenção
IDP104,Florianopolis-Ingleses_Norte-apartamento-SUP-3Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",8,1852,4604.97,21,2360.78,2025-11,0.7727,0.3526,17,30,343.47,250.0,2,0,2025-11-24,1.95,2747.76,-2244.19,ok
JBV276,Especial-JBV-hotel-JR-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,1065,11494.14,27,10333.97,2025-11,0.8,0.693,24,30,666.88,,0,0,2025-11-24,1.11,0.0,-1160.17,ok
MNDA0217,Cabo_Frio-Centro-apartamento-SUP-1Q,Carteira 4,RJ,"Cabo Frio, RJ","Cabo Frio, RJ, Braga",2,68,4202.34,51,3428.27,2025-11,0.7857,0.6485,22,30,227.0,120.0,3,0,2025-11-24,1.23,454.0,-774.0700000000002,ok
NWT1414,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",1,309,7465.44,43,5085.72,2025-11,0.931,0.6637,27,30,345.26,,0,0,2025-11-24,1.47,345.26,-2379.7199999999993,ok
PDU0033,Cabo_Frio-Foguete-casa-JR-1Q,Carteira 4,RJ,"Cabo Frio, RJ","Cabo Frio, RJ, Braga",1,358,2419.34,50,1537.09,2025-11,0.5172,0.4063,15,30,185.8,180.0,4,25,2025-11-24,1.57,185.8,-882.2500000000002,ok
PSOB0912,Penha-Beto_Carrero-apartamento-SUP-1Q,Carteira 3,SC,"Penha, SC","Penha, SC, Praia de Armação do Itapocoroi",0,113,3122.64,18,2190.5,2025-11,0.5333,0.486,16,30,222.31,136.33,3,0,2025-11-24,1.43,0.0,-932.1399999999999,ok
