listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,data_da_execucao,atingimento_meta,grupo_criticidade
LIV1004,Salvador-Graca-apartamento-TOP-1Q,Especial,BA,"Salvador, BA","Salvador, BA, Vitória",0,126,3151.16,9,1141.14,2025-10,0.5161,0.3244,16,31,235.31,250.71,14,2025-10-06,2.76,meta_subestimada
MCB0807,Balneario_Picarras-Geral-apartamento-SUP-2Q,Carteira 6,SC,"Balneário Piçarras, SC","Balneário Piçarras, SC, itacolomi",0,99,0.0,31,1183.2,2025-10,0.0,0.134,0,31,,125.56,25,2025-10-06,0.0,crítico
MHF1002,Itapema-Canto_Praia-apartamento-TOP-2Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",2,278,1473.7,8,2155.64,2025-10,0.1724,0.1674,5,31,265.0,265.0,20,2025-10-06,0.68,atenção
MHFA2007,Itapema-Canto_Praia-apartamento-SUP-1Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",0,350,0.0,7,1455.01,2025-10,0.0,0.199,0,31,,288.0,25,2025-10-06,0.0,crítico
NWT0404,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,62,3588.96,30,4057.04,2025-10,0.4516,0.5207,14,31,294.29,280.0,15,2025-10-06,0.88,berlinda
NWT0920,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,183,3489.59,30,4057.04,2025-10,0.4516,0.5207,14,31,282.56,269.0,11,2025-10-06,0.86,berlinda
NWT0924,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,183,0.0,30,4057.04,2025-10,0.0,0.5207,0,31,,400.0,25,2025-10-06,0.0,crítico
NWT1007,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,168,2346.63,30,4057.04,2025-10,0.2903,0.5207,9,31,302.11,280.0,16,2025-10-06,0.58,atenção
NWT1323,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,253,4835.01,30,4057.04,2025-10,0.6452,0.5207,20,31,293.55,320.75,8,2025-10-06,1.19,ok
PRN0003,Imbituba-Praia_do_Rosa-casa-JR-2Q,Carteira 6,SC,"Imbituba, SC","Imbituba, SC, Ibiraquera",1,145,1054.87,30,1501.72,2025-10,0.3,0.1385,9,31,137.78,117.35,20,2025-10-06,0.7,atenção
SMT1121,Salvador-Boca_do_Rio-apartamento-TOP-1Q,Carteira 1,BA,"Salvador, BA","Salvador, BA, Jardim Armação",0,1,2813.01,11,2062.95,2025-10,0.3871,0.4137,12,31,180.5,186.08,13,2025-10-06,1.36,ok
SOA0602,Salvador-Boca_do_Rio-apartamento-SUP-2Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Boca do Rio",0,418,3849.57,11,2062.95,2025-10,0.6774,0.4137,21,31,236.38,180.0,9,2025-10-06,1.87,ok
SOA0608,Salvador-Boca_do_Rio-apartamento-TOP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Boca do Rio",0,299,0.0,11,2062.95,2025-10,0.0,0.4137,0,31,,173.08,25,2025-10-06,0.0,crítico
STP0903,Guarapari-Centro-apartamento-SUP-2Q,Carteira 4,ES,"Guarapari, ES","Guarapari, ES, Centro",0,119,1562.47,14,2736.54,2025-10,0.2258,0.261,7,31,279.29,181.78,18,2025-10-06,0.57,atenção
TCO0409,Porto_Alegre-Centro_Historico-apartamento-SUP-1Q,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Centro Histórico",0,456,2193.42,71,1060.84,2025-10,0.6452,0.3052,20,31,129.0,142.82,11,2025-10-06,2.07,meta_subestimada
TDB0101,Florianopolis-Ingleses_Norte-apartamento-SUP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses Norte",0,257,4198.01,34,2143.1,2025-10,0.7419,0.2447,23,31,222.74,197.25,8,2025-10-06,1.96,ok
