listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,dias_pmin,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade,dias_disponiveis,dias_necessarios,potencial_max,potencial_realista,score_bruto,score_normalizado,faixa_prioridade,status_operacional,score_risco_bruto
SEM0012,Barra_Velha-Centro-apartamento-SUP-1Q,Carteira 3,SC,"Barra Velha, SC","Barra Velha, SC, Tabuleiro",2,31,1463.87,16,1516.64,2025-11,0.4643,0.3143,13,30,144.69,133.83,6,0,2025-11-24,0.97,289.38,52.77000000000021,berlinda,6,1.0,2266.85,1836.6936139999998,4.656483476632574,21.686746987951807,Média,🟢 Abaixo viável,
BER0202,Maceio-Jatiuca-apartamento-SUP-1Q,Carteira 2,AL,"Maceió, AL","Maceió, AL, Ponta Verde",0,38,3279.19,102,3602.73,2025-11,0.7333,0.7251,22,30,174.59,176.0,2,0,2025-11-24,0.91,0.0,323.53999999999996,berlinda,2,2.0,3631.19,3537.3116,7.902762627229906,53.915662650602414,Alta,🟠 Abaixo precisa esforço,
IFT1405,Itapema-Meia_Praia-Norte-apartamento-TOP-1Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Meia Praia",0,340,2635.62,32,3277.09,2025-11,0.3667,0.4396,11,30,320.0,320.0,6,30,2025-11-24,0.8,0.0,641.4700000000003,berlinda,6,3.0,4555.62,3339.684,20.879337054114067,90.96385542168674,Crítico,🟢 Abaixo viável,
RLZ0301,Florianopolis-Itacorubi-apartamento-TOP-2Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Itacorubi",6,156,4215.82,18,4487.69,2025-11,0.75,0.5569,18,30,304.61,188.0,2,0,2025-11-24,0.94,1827.66,271.8699999999999,berlinda,2,2.0,4591.82,4497.82,5.694640226931894,35.8433734939759,Média,🟢 Abaixo viável,
OBP0303,Penha-Beto_Carrero-apartamento-MASTER-2Q,Carteira 3,SC,"Penha, SC","Penha, SC, Armação",0,352,4889.96,27,5080.45,2025-11,0.6,0.3811,18,30,322.83,302.67,3,0,2025-11-24,0.96,0.0,190.48999999999978,berlinda,3,1.0,5797.97,5434.766,11.348523910283527,71.98795180722891,Alta,🟢 Abaixo viável,
CFA0508,Florianopolis-Centrao-apartamento-JR-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Centro",0,50,3396.28,72,3484.62,2025-11,0.8667,0.6339,26,30,169.08,107.0,3,0,2025-11-24,0.97,0.0,88.33999999999969,berlinda,3,1.0,3717.28,3674.4907000000003,2.712599939161219,4.216867469879518,Baixa,🟢 Abaixo viável,
DAL312,Canela-Geral-apartamento-TOP-1Q,Carteira 4,RS,"Canela, RS","Canela, RS, São José",0,754,4299.37,22,4623.86,2025-11,0.6333,0.6458,19,30,277.84,188.0,2,0,2025-11-24,0.93,0.0,324.4899999999998,berlinda,2,2.0,4675.37,4537.4908,6.596665989022155,43.97590361445783,Média,🟠 Abaixo precisa esforço,
NWT0312,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",2,320,4123.69,43,5085.72,2025-11,0.5357,0.6637,15,30,311.94,280.0,1,0,2025-11-24,0.81,623.88,962.0300000000007,berlinda,1,4.0,4403.69,4273.686,13.241409279315425,78.01204819277109,Alta,🟠 Abaixo precisa esforço,
STW0702,Itapema-Praia_Itapema-apartamento-SUP-2Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Morretes",0,12,2831.01,16,3455.04,2025-11,0.7333,0.5108,22,30,148.58,130.0,1,0,2025-11-24,0.82,0.0,624.0299999999997,berlinda,1,5.0,2961.01,2926.3390000000004,4.695974576271185,23.19277108433735,Média,🟠 Abaixo precisa esforço,
SVN0401,Florianopolis-Ingleses_Centro-apartamento-TOP-3Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",4,683,6205.86,48,6389.39,2025-11,0.5385,0.4898,14,30,516.43,334.0,1,18,2025-11-24,0.97,2065.72,183.53000000000065,berlinda,1,1.0,6539.86,6385.719,9.593876723756136,67.16867469879519,Alta,🟠 Abaixo precisa esforço,
TCO1005,Porto_Alegre-Centro_Historico-apartamento-SUP-1Q,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Centro Histórico",0,86,2340.28,77,2393.45,2025-11,0.7,0.6126,21,30,122.57,120.0,2,0,2025-11-24,0.98,0.0,53.16999999999962,berlinda,2,1.0,2580.28,2508.28,2.6657753452129582,3.91566265060241,Baixa,🟢 Abaixo viável,
EDJ0410,Florianopolis-Ingleses_Praia-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",0,204,3400.03,40,3764.53,2025-11,0.6333,0.55,19,30,221.09,,0,0,2025-11-24,0.9,0.0,364.5,berlinda,0,0.0,,,,,Baixa,🔴 Abaixo inviável,
GSH0102,Camaçari-Monte_Gordo-apartamento-TOP-2Q,Carteira 2,BA,"Camaçari, BA","Camaçari, BA, Monte Gordo",1,103,4976.88,23,5904.52,2025-11,0.4828,0.5067,14,30,417.21,314.33,3,13,2025-11-24,0.84,417.21,927.6400000000003,berlinda,3,3.0,5919.87,5432.155572,16.46112250727691,84.93975903614458,Crítico,🟠 Abaixo precisa esforço,
ILC3312,Especial-ILC-hotel-JR-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",2,1971,9166.68,17,10796.7,2025-11,0.6071,0.6721,17,30,727.82,487.0,3,0,2025-11-24,0.85,1455.64,1630.0200000000004,berlinda,3,4.0,10627.68,10053.6531,18.38107338353386,88.55421686746988,Crítico,🟠 Abaixo precisa esforço,
MHFB2005,Itapema-Canto_Praia-apartamento-SUP-1Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",8,474,2305.04,14,2356.68,2025-11,0.6818,0.4102,15,30,186.2,161.75,4,0,2025-11-24,0.98,1489.6,51.63999999999987,berlinda,4,1.0,2952.04,2746.1646,3.5442953646655377,11.144578313253012,Baixa,🟢 Abaixo viável,
JBV248,Especial-JBV-hotel-TOP-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",2,1299,11159.13,34,11467.8,2025-11,0.8214,0.7407,23,30,593.83,,0,0,2025-11-24,0.97,1187.66,308.6700000000001,berlinda,0,0.0,,,,,Baixa,🔴 Abaixo inviável,
MHB0302,Florianopolis-Novo_Campeche-apartamento-SUP-3Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Campeche",6,128,6054.36,67,6778.69,2025-11,0.75,0.6286,18,30,380.0,316.5,2,0,2025-11-24,0.89,2280.0,724.3299999999999,berlinda,2,3.0,6687.36,6529.11,11.273094801502944,71.6867469879518,Alta,🟠 Abaixo precisa esforço,
SJS0004,Florianopolis-Ingleses_Centro-apartamento-JR-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",0,317,2469.21,18,2729.84,2025-11,0.7333,0.5952,22,30,145.5,109.67,3,0,2025-11-24,0.9,0.0,260.6300000000001,berlinda,3,3.0,2798.2200000000003,2710.473033,3.490228010921278,10.542168674698797,Baixa,🟠 Abaixo precisa esforço,
TXP0311,Goiania-Central-apartamento-SUP-2Q,Carteira 1_sys-price,GO,"Goiânia, GO","Goiânia, GO, Setor Bueno",4,772,3170.81,57,3485.85,2025-11,0.6154,0.5275,16,30,231.38,236.67,3,22,2025-11-24,0.91,925.52,315.03999999999996,berlinda,3,2.0,3880.8199999999997,3607.750154,10.694739704806569,69.87951807228916,Alta,🟢 Abaixo viável,
UPP0408,Curitiba-Centro-apartamento-JR-1Q,Carteira 4,PR,"Curitiba, PR","Curitiba, PR, Alto da XV",0,10,2220.3,289,2479.88,2025-11,0.6333,0.6885,19,30,138.95,130.0,5,0,2025-11-24,0.9,0.0,259.5799999999999,berlinda,5,2.0,2870.3,2631.945,6.803837282449148,45.48192771084337,Média,🟢 Abaixo viável,
ELG0071,Barra_Velha-Centro-apartamento-JR-3Q,Carteira 3,SC,"Barra Velha, SC","Barra Velha, SC, Centro",1,246,1752.83,20,1947.55,2025-11,0.3793,0.3584,11,30,191.91,178.33,6,0,2025-11-24,0.9,191.91,194.72000000000003,berlinda,6,2.0,2822.81,2158.673414,8.914897589278837,60.8433734939759,Alta,🟢 Abaixo viável,
STL401,Camboriu-Tabuleiro-apartamento-SUP-2Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Vila Real",20,1,2351.52,29,2929.53,2025-11,0.9,0.5028,9,30,281.89,173.0,1,0,2025-11-24,0.8,5637.799999999999,578.0100000000002,berlinda,1,4.0,2524.52,2507.22,8.533427717074073,57.53012048192772,Alta,🟠 Abaixo precisa esforço,
