listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade,dias_disponiveis,dias_necessarios,potencial_max,potencial_realista,score_bruto,score_normalizado,faixa_prioridade,status_operacional
NWT1012,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",1,154,4255.99,26,4604.77,2025-10,0.5667,0.5984,17,31,337.71,321.57,7,2025-10-13,0.92,337.71,348.78000000000065,berlinda,7,2.0,6506.98,5531.626033,12.178369886009525,72.90448343079922,Alta,🟢 Abaixo viável
OBP0602,Penha-Beto_Carrero-apartamento-TOP-2Q,Carteira 3,SC,"Penha, SC","Penha, SC, Armação",0,28,2391.63,38,2884.57,2025-10,0.4516,0.3312,14,31,215.14,234.82,11,2025-10-13,0.83,0.0,492.94000000000005,berlinda,11,3.0,4974.65,3558.121832,13.376016852887371,78.16764132553607,Alta,🟢 Abaixo viável
PNA0402,Balneario_Camboriu-Centro-apartamento-SUP-3Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",0,511,3952.08,69,4202.82,2025-10,0.5484,0.3737,17,31,297.47,299.83,12,2025-10-13,0.94,0.0,250.73999999999978,berlinda,12,1.0,7550.04,5925.201263999999,17.887840592744855,89.8635477582846,Crítico,🟢 Abaixo viável
VGZ0002,Imbituba-Praia_do_Rosa-casa-SUP-1Q,Carteira 6,SC,"Imbituba, SC","Imbituba, SC, Ibiraquera",5,589,2305.79,47,2169.2,2025-10,0.6923,0.2327,18,31,148.22,114.0,4,2025-10-13,1.06,741.1,-136.59000000000015,berlinda,4,-1.0,2761.79,2621.4788,7.178342245989313,48.148148148148145,Média,🟡 Acima com risco
CNA007,Especial-CNA-casa-MASTER-1Q,Especial,SP,"Campos do Jordão, SP","Campos do Jordão, SP, Jardim Europa",0,985,8757.85,24,8123.23,2025-10,0.4839,0.3916,15,31,674.81,655.3,10,2025-10-13,1.08,0.0,-634.6200000000008,berlinda,10,-0.0,15310.85,11928.8467,-51.194720080559165,0.1949317738791423,Baixa,🟡 Acima com risco
MBI022,Pocos_de_Caldas-Geral-apartamento-SUP-3Q,Carteira 4,MG,"Poços de Caldas, MG","Poços de Caldas, MG, Jardim Bandeirantes",0,733,1468.08,7,1351.84,2025-10,0.2258,0.1826,7,31,244.29,204.38,13,2025-10-13,1.09,0.0,-116.24000000000001,berlinda,13,-0.0,4125.02,2068.017052,-17.57392235767547,3.313840155945419,Baixa,🟡 Acima com risco
SKL1307,Penha-Praia-apartamento-SUP-3Q,Carteira 6,SC,"Penha, SC","Penha, SC, Armação",7,127,3044.22,18,2919.75,2025-10,0.5833,0.2715,14,31,294.93,205.5,4,2025-10-13,1.04,2064.51,-124.4699999999998,berlinda,4,-0.0,3866.22,3523.6926,-8.760539429745684,10.721247563352826,Baixa,🟡 Acima com risco
SPJ0305,Especial-SPJ-apartamento-TOP-1Q,Carteira 5,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,485,4082.02,16,3790.01,2025-10,0.8065,0.4946,25,31,207.48,271.0,5,2025-10-13,1.08,0.0,-292.00999999999976,berlinda,5,-1.0,5437.02,5174.827499999999,20.87981562053925,92.78752436647173,Crítico,🟡 Acima com risco
ELF0607,Bombinhas-Bombas-apartamento-SUP-1Q,Especial,SC,"Bombinhas, SC","Bombinhas, SC, José Amândio",10,133,1396.28,23,1708.05,2025-10,0.3333,0.2233,7,31,228.0,228.0,6,2025-10-13,0.82,2280.0,311.77,berlinda,6,2.0,2764.2799999999997,1852.2344,20.80839553877228,92.5925925925926,Crítico,🟢 Abaixo viável
IAA0502,Recife-Boa_Viagem-apartamento-TOP-1Q,Carteira 2,PE,"Recife, PE","Recife, PE, Boa Viagem",2,567,3283.04,52,4056.99,2025-10,0.5517,0.5997,16,31,208.52,221.0,1,2025-10-13,0.81,417.04,773.9499999999998,berlinda,1,4.0,3504.04,3404.9656999999997,10.540015504105257,64.91228070175438,Alta,🟠 Abaixo precisa esforço
