listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,data_da_execucao,atingimento_meta,grupo_criticidade,dias_disponiveis,falta_meta,dias_necessarios,potencial_max,potencial_realista,score_bruto,score_normalizado,faixa_prioridade,status_operacional
NWT0922,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,190,3750.89,30,4057.04,2025-10,0.5484,0.5207,17,31,277.63,277.09,11,2025-10-07,0.92,berlinda,11,306.1500000000001,2.0,6798.879999999999,5422.407716,10.454802454498848,55.172413793103445,Alta,🟢 Abaixo viável
UAR301,Itapema-Praia_Centro-apartamento-SUP-3Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Centro",4,22,3382.94,14,3225.64,2025-10,0.8148,0.2231,22,31,184.73,171.6,5,2025-10-07,1.05,berlinda,5,-157.30000000000018,-0.0,4240.9400000000005,4082.0384,-8.36816259719003,13.793103448275861,Baixa,🟢 Acima com folga
MHFA0903,Itapema-Canto_Praia-apartamento-SUP-1Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",0,329,1285.87,7,1455.01,2025-10,0.3226,0.199,10,31,143.46,150.4,15,2025-10-07,0.88,berlinda,15,169.1400000000001,2.0,3541.87,2013.6556,8.741746104837771,46.43678160919541,Média,🟢 Abaixo viável
NWT0711,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,154,3931.72,30,4057.04,2025-10,0.5484,0.5207,17,31,287.53,284.14,14,2025-10-07,0.97,berlinda,14,125.32000000000016,1.0,7909.68,6113.2332639999995,8.776946936682915,46.89655172413793,Média,🟢 Abaixo viável
ORN0101,Florianopolis-Ingleses_Norte-apartamento-JR-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",6,323,1816.46,17,1987.38,2025-10,0.52,0.3131,13,31,196.15,184.44,9,2025-10-07,0.91,berlinda,9,170.92000000000007,1.0,3476.42,2679.6392,15.862333725809867,77.93103448275862,Alta,🟢 Abaixo viável
SHR103,Florianopolis-Novo_Campeche-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Campeche",0,930,4490.04,38,4453.03,2025-10,0.6129,0.4101,19,31,291.74,283.0,7,2025-10-07,1.01,berlinda,7,-37.01000000000022,-0.0,6471.04,5704.1949,-2.3520681423659986,21.149425287356323,Média,🟢 Acima com folga
EEP1102,Guarapari-Centro-apartamento-SUP-1Q,Carteira 4,ES,"Guarapari, ES","Guarapari, ES, São Judas Tadeu",0,82,2528.36,28,2350.64,2025-10,0.5806,0.4512,18,31,157.44,153.8,10,2025-10-07,1.08,berlinda,10,-177.72000000000025,-1.0,4066.36,3421.3228000000004,11.62804002314265,60.91954022988506,Alta,🟢 Acima com folga
GUA1902,Balneario_Camboriu-Centro-apartamento-TOP-3Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",12,23,5530.65,37,5288.27,2025-10,0.8947,0.3583,17,31,404.88,,0,2025-10-07,1.05,berlinda,0,-242.3799999999992,0.0,,,,,Baixa,🟡 Acima sem ação
LFH0306,Blumenau-Central-apartamento-JR-1Q,Carteira 4,SC,"Blumenau, SC","Blumenau, SC, Escola Agrícola",0,37,5108.09,40,5178.91,2025-10,0.5484,0.4511,17,31,351.41,189.5,10,2025-10-07,0.99,berlinda,10,70.81999999999971,1.0,7003.09,6147.308,2.5913541652587027,29.195402298850574,Média,🟢 Abaixo viável
SPT0301,Blumenau-Central-apartamento-JR-1Q,Carteira 4,SC,"Blumenau, SC","Blumenau, SC, Itoupava Seca",0,503,4730.91,40,5178.91,2025-10,0.4516,0.4511,14,31,396.57,241.09,11,2025-10-07,0.91,berlinda,11,448.0,2.0,7382.9,5928.548683999999,10.427707760899494,54.94252873563218,Alta,🟢 Abaixo viável
EMZ0504,Guarapari-Praia_do_Morro-apartamento-JR-2Q,Carteira 4,ES,"Guarapari, ES","Guarapari, ES, Praia do Morro",0,107,2458.4,71,2442.86,2025-10,0.4516,0.4262,14,31,185.79,171.09,11,2025-10-07,1.01,berlinda,11,-15.539999999999964,-0.0,4340.39,3308.306684,-1.0883712533669527,23.448275862068964,Média,🟢 Acima com folga
ILC3109,Especial-ILC-hotel-TOP-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",0,1797,8531.58,27,7940.49,2025-10,0.6452,0.6389,20,31,520.95,477.0,10,2025-10-07,1.07,berlinda,10,-591.0900000000001,-1.0,13301.58,11609.184,35.50787545856743,97.24137931034483,Crítico,🟢 Acima com folga
JRR205,Florianopolis-Jurere_Tradicional-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,1154,4345.67,17,4453.11,2025-10,0.871,0.3745,27,31,212.15,242.75,4,2025-10-07,0.98,berlinda,4,107.4399999999996,1.0,5316.67,5191.411,5.856819166829453,34.94252873563218,Média,🟢 Abaixo viável
VMA101,Florianopolis-Jurere_Tradicional-apartamento-SUP-3Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",6,650,4900.0,19,4524.55,2025-10,0.64,0.3477,16,31,428.69,263.8,5,2025-10-07,1.08,berlinda,5,-375.4499999999998,-1.0,6219.0,5744.16,21.89028964206384,88.73563218390804,Crítico,🟢 Acima com folga
ELF0607,Bombinhas-Bombas-apartamento-SUP-1Q,Especial,SC,"Bombinhas, SC","Bombinhas, SC, José Amândio",8,133,1396.28,17,1485.18,2025-10,0.3043,0.1624,7,31,228.0,247.0,12,2025-10-07,0.94,berlinda,12,88.90000000000009,1.0,4360.28,2298.2252,14.784941892565225,74.25287356321839,Alta,🟢 Abaixo viável
NOR0204,Brasilia-Asa_Norte-apartamento-SUP-1Q,Carteira 1,DF,"Brasília, DF","Brasília, DF, Asa Norte",1,736,2305.42,91,2189.81,2025-10,0.3667,0.4281,11,31,198.0,208.86,14,2025-10-07,1.05,berlinda,14,-115.61000000000013,-0.0,5229.46,3377.665468,-11.026666514446472,9.655172413793103,Baixa,🟢 Acima com folga
SBA0401,Maceio-Jatiuca-apartamento-JR-3Q,Carteira 2,AL,"Maceió, AL","Maceió, AL, Jatiúca",9,607,3470.46,17,3168.58,2025-10,0.7273,0.4714,16,31,321.13,187.0,4,2025-10-07,1.1,berlinda,4,-301.8800000000001,-1.0,4218.46,4014.4804,17.81604377986354,82.06896551724138,Crítico,🟢 Acima com folga
MHFA1607,Itapema-Canto_Praia-apartamento-SUP-1Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",0,362,1571.18,7,1455.01,2025-10,0.3226,0.199,10,31,170.0,167.73,15,2025-10-07,1.08,berlinda,15,-116.17000000000007,-0.0,4087.13,2382.82547,-13.391793939560559,7.126436781609195,Baixa,🟢 Acima com folga
PDC301,Ilheus-Sul-apartamento-JR-2Q,Carteira 2,BA,"Ilhéus, BA","Ilhéus, BA, São Francisco",0,735,1671.26,18,1931.9,2025-10,0.4516,0.1944,14,31,141.71,131.25,16,2025-10-07,0.87,berlinda,16,260.6400000000001,2.0,3771.26,2619.62,8.853719136601276,47.356321839080465,Média,🟢 Abaixo viável
RJH0101,Camaçari-Itacimirim-apartamento-TOP-2Q,Carteira 2,BA,"Camaçari, BA","Camaçari, BA, Itacimirim",0,244,4724.48,13,4788.39,2025-10,0.7097,0.3783,22,31,265.05,265.25,4,2025-10-07,0.99,berlinda,4,63.910000000000764,1.0,5785.48,5477.4717,3.540256223908287,30.344827586206897,Média,🟢 Abaixo viável
VTD0704,Florianopolis-UFSC-apartamento-SUP-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Trindade",6,107,1932.51,32,1791.73,2025-10,0.4,0.3064,10,31,186.5,168.55,11,2025-10-07,1.08,berlinda,11,-140.77999999999997,-0.0,3786.5600000000004,2674.13,-13.24332851489901,7.586206896551724,Baixa,🟢 Acima com folga
