listing,group_name,num_listing_blocked,n_days_status,listing_fat,n_competitors,meta_value,year_month,to_listings,to_competitors,days_occupied,total_days
SVN0401,Florianopolis-Ingleses_Centro-apartamento-TOP-3Q,13,622,2101.76,34,3474.5,2025-09,0.4118,0.4322,7,30
TCO1005,Porto_Alegre-Centro_Historico-apartamento-SUP-1Q,2,25,2608.33,76,1965.48,2025-09,0.8929,0.587,25,30
VRN302,Florianopolis-Jurere_Tradicional-apartamento-TOP-2Q,3,592,5443.05,15,5839.5,2025-09,0.8889,0.489,24,30
ADS0103,Cabo_Frio-Centro-apartamento-JR-2Q,10,300,1817.09,101,2681.75,2025-09,0.75,0.4993,15,30
ASK0003,Florianopolis-Itacorubi-apartamento-JR-1Q,0,48,1793.32,13,1673.99,2025-09,0.6667,0.7452,20,30
BLS1355,Goiania-Central-apartamento-SUP-1Q,3,711,3130.69,140,2762.08,2025-09,0.7407,0.6003,20,30
CPJ0404,Florianopolis-Jurere_Internacional-apartamento-TOP-2Q,29,641,0.0,17,5839.5,2025-09,0.0,0.5051,0,30
EJO0401,Florianopolis-Centrao-apartamento-JR-1Q,1,139,2086.68,67,2394.45,2025-09,0.6897,0.585,20,30
FDK0074,Sao_Paulo-Pinheiros-apartamento-SUP-1Q,0,11,5000.91,393,4152.46,2025-09,0.9667,0.6551,29,30
NDE0002,Florianopolis-Campeche-apartamento-JR-1Q,0,124,1999.01,22,1148.78,2025-09,0.8,0.3891,24,30
NWT0709,Especial-NWT-apartamento-MASTER-1Q,0,115,8775.66,23,6251.18,2025-09,0.8667,0.7372,26,30
NWT0910,Especial-NWT-apartamento-MASTER-1Q,0,160,10780.58,23,6251.18,2025-09,0.8,0.7372,24,30
NWT1002,Especial-NWT-apartamento-TOP-1Q,0,137,4996.78,34,4405.55,2025-09,0.8333,0.6132,25,30
NWT1503,Especial-NWT-apartamento-TOP-1Q,0,119,7044.9,34,4405.55,2025-09,0.8667,0.6132,26,30
PSO0509,Penha-Beto_Carrero-apartamento-SUP-1Q,0,35,2389.07,20,1865.2,2025-09,0.7333,0.5162,22,30
SDO206,Florianopolis-Ingleses_Norte-apartamento-SUP-3Q,6,1813,2537.3,14,1350.38,2025-09,0.5833,0.1931,14,30
SPT0208,Blumenau-Central-apartamento-JR-1Q,0,473,383.65,35,1509.6,2025-09,0.1667,0.4702,5,30
BCA0211,Salvador-Ondina_Rio_Vermelho-apartamento-TOP-1Q,3,109,3417.3,36,2915.05,2025-09,0.8148,0.5788,22,30
BSO0102,Itajai-Praia_Brava-apartamento-SUP-1Q,0,137,2470.55,15,1844.31,2025-09,0.8333,0.52,25,30
CEO0104,Itapema-Meia_Praia-Norte-apartamento-JR-3Q,2,501,2756.04,15,1683.0,2025-09,1.0,0.2894,28,30
CSCD0013,Florianopolis-Ingleses_Norte-apartamento-SIM-1Q,1,1287,2270.44,13,934.32,2025-09,0.7931,0.4069,23,30
DLH0201,Gramado-Centro-apartamento-TOP-2Q,1,335,7779.86,58,4406.4,2025-09,0.8621,0.4483,25,30
EEP1102,Guarapari-Centro-apartamento-SUP-1Q,0,52,2402.28,28,2188.35,2025-09,0.8333,0.5931,25,30
LEC0107,Brasilia-Asa_Sul-apartamento-SUP-1Q,0,81,3870.0,122,3724.87,2025-09,1.0,0.7583,30,30
LFH0306,Blumenau-Central-apartamento-JR-1Q,0,7,999.17,35,1509.6,2025-09,0.4333,0.4702,13,30
NLUG0001,São_Miguel_dos_Milagres-Geral-casa-TOP-3Q,9,213,5439.74,19,8905.24,2025-09,0.5238,0.5608,11,30
NWT0913,Especial-NWT-apartamento-TOP-1Q,0,153,4467.96,34,4405.55,2025-09,0.7667,0.6132,23,30
NWT0917,Especial-NWT-apartamento-TOP-1Q,0,160,4407.93,34,4405.55,2025-09,0.7667,0.6132,23,30
PNM0202,Florianopolis-Jurere_Internacional-apartamento-SUP-1Q,0,221,2557.61,14,1896.22,2025-09,0.5667,0.3141,17,30
RMI201,Florianopolis-Ingleses_Praia-apartamento-SUP-1Q,0,1117,2071.74,21,2459.16,2025-09,0.6667,0.5783,20,30
SPT0301,Blumenau-Central-apartamento-JR-1Q,0,473,1312.54,35,1509.6,2025-09,0.4667,0.4702,14,30
TAH0602,Itapema-Meia_Praia-Norte-apartamento-JR-3Q,5,102,2075.76,15,1683.0,2025-09,0.68,0.2894,17,30
VGC0005,Mata_de_Sao_Joao-Praia_do_Forte-apartamento-JR-1Q,1,257,1713.92,28,2285.19,2025-09,0.4483,0.3983,13,30
VTL0302,Ilheus-Sul-apartamento-SUP-2Q,0,269,1928.8,18,2399.79,2025-09,0.4667,0.3683,14,30
BLSA1656,Goiania-Central-apartamento-TOP-1Q,3,570,2923.22,48,2731.56,2025-09,0.7778,0.5615,21,30
CNB001,Especial-CNB-casa-TOP-1Q,1,537,12521.23,14,5600.08,2025-09,0.7931,0.6068,23,30
DIO1602,Sao_Paulo-Pompeia-apartamento-SUP-1Q,3,84,2859.86,64,3067.19,2025-09,0.7407,0.5586,20,30
ESM602,Itapema-Meia_Praia-Norte-apartamento-JR-3Q,7,727,2144.52,15,1683.0,2025-09,0.8261,0.2894,19,30
LGA0201,Bombinhas-Centro-apartamento-TOP-3Q,0,402,0.0,31,2306.6,2025-09,0.0,0.2522,0,30
NWT1218,Especial-NWT-apartamento-TOP-1Q,0,102,1045.24,34,4405.55,2025-09,0.0667,0.6132,2,30
