listing,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel
CPI0208,117.83,90.0,3
CPJ0404,,900.0,1
CPJ504,176.21,160.0,1
CPK0803,272.81,220.0,2
CPK1009,244.83,,0
CPL025,202.89,176.0,1
CPM0303,230.52,,0
CPM1110,236.11,181.0,1
CPN0002,,,0
CPN0303,250.41,,0
CPR0025,,,0
CPR0106,,,0
CPR0107,,326.0,5
CPR0108,,326.0,5
CPR0202,,409.0,5
CPR0207,400.0,400.0,5
CQS0004,218.46,200.0,2
CRA304,114.59,110.0,2
CRI0301,142.0,135.0,4
CRJ101,,,0
CRM0201,217.53,,0
CRM0212,265.75,207.0,2
CRN0705,289.33,205.0,1
CRR201,171.75,150.0,1
CRVA0007,,,0
CSC0212,119.09,195.0,3
CSCA1110,129.89,160.0,1
CSCD0013,123.52,,0
CSCG0110,125.58,136.0,1
CSD0101,160.8,,0
CSD0302,213.7,,0
CSD0403,184.27,,0
CSE0102,260.13,,0
CSF0202,270.56,,0
CSG305,136.54,140.0,2
CSI0302,125.63,120.0,3
CSP0407,300.64,203.0,2
CSP0914,166.82,,0
CST0905,121.87,,0
CSU0402,164.37,135.0,1
CTA022,226.0,,0
CTB2405,214.3,181.0,1
CTB2505,218.75,190.0,1
CTD0101,100.58,100.0,2
CTD0301,112.73,100.0,4
CTD0302,110.5,100.0,2
CTD0401,110.07,100.0,3
CTM0000,231.61,180.0,3
CTP1103,200.4,,0
CTS0203,193.63,162.0,2
CUA001,116.21,118.5,2
CUR0905,124.81,,0
CVA305,190.54,173.0,1
CVAF0220,232.83,180.0,2
CVB0144,,550.0,4
CVE402,158.08,130.0,1
CVI0012,255.5,150.0,3
CVKB0006,314.5,187.0,2
CVPA103,165.41,221.0,3
CVPF102,209.69,,0
CVY0306,185.77,165.2,5
CZZ0302,188.08,146.0,3
CZZ0304,196.19,181.5,2
CZZ0402,205.52,179.0,3
CZZ0403,199.27,146.0,3
CZZ0404,220.91,146.0,3
CZZ0405,203.4,162.0,3
CZZ0406,229.75,162.0,3
CZZ0503,252.94,177.75,4
CZZ0504,174.0,162.0,3
CZZ0505,206.95,162.0,3
CZZ0507,195.72,179.0,3
CZZ0508,466.0,,0
CZZ0602,420.94,333.0,1
DAC0202,124.05,113.0,1
DAC0402,230.0,113.0,1
DAL207,215.45,153.0,3
DAL221,193.22,,0
DAL312,208.26,153.0,2
DBH0804,135.71,138.0,5
DBH0807,145.53,110.0,2
