listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,atingimento_meta,grupo_criticidade,data_atualizacao
MSSO0902,Goiania-Leste-apartamento-TOP-1Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Jardim Goiás",1,706,3763.18,19,4506.15,2025-09,0.7586,0.6784,22,30,185.0,200.04,28,0.84,berlinda,2025-09-25
NWC1510,Curitiba-Centro-apartamento-SUP-1Q,Carteira 4,PR,"Curitiba, PR","Curitiba, PR, Centro",0,19,2599.03,254,2538.28,2025-09,0.6333,0.6524,19,30,162.25,184.23,26,1.02,berlinda,2025-09-25
OKA204,Florianopolis-Campeche-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Campeche",2,1012,3225.92,27,2002.6,2025-09,0.8571,0.5184,24,30,212.56,246.9,10,1.61,ok,2025-09-25
PRB0405,Florianopolis-Jurere_Tradicional-apartamento-TOP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,200,5378.24,14,5717.84,2025-09,0.7,0.5097,21,30,373.19,298.14,14,0.94,berlinda,2025-09-25
PSO0708,Penha-Beto_Carrero-apartamento-SUP-1Q,Carteira 3,SC,"Penha, SC","Penha, SC, Praia de Armação do Itapocoroi",0,75,2153.98,11,1518.27,2025-09,0.7,0.5812,21,30,211.44,151.52,21,1.42,ok,2025-09-25
QUI0090,Pocos_de_Caldas-Geral-apartamento-SUP-1Q,Carteira 4,MG,"Poços de Caldas, MG","Poços de Caldas, MG, Centro",0,213,2340.46,31,1625.33,2025-09,0.6,0.4432,18,30,170.82,169.21,14,1.44,ok,2025-09-25
SMA0107,Salvador-Pituba_Praia-apartamento-SUP-1Q,Carteira 5,BA,"Salvador, BA","Salvador, BA, Amaralina",6,4,1919.73,18,2287.28,2025-09,0.5417,0.7035,13,30,182.22,158.55,20,0.84,berlinda,2025-09-25
TPS310,Florianopolis-Canasvieiras_Meio-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras",0,966,2911.44,20,2397.6,2025-09,0.9,0.5347,27,30,149.23,170.54,13,1.21,ok,2025-09-25
VLO0514,Florianopolis-Jurere_Longe-apartamento-TOP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",0,293,2104.93,13,3702.6,2025-09,0.4,0.4917,12,30,271.94,340.56,9,0.57,atenção,2025-09-25
CAP0302,Gramado-Carniel-apartamento-TOP-2Q,Carteira 4,RS,"Gramado, RS","Gramado, RS, Carniel",0,629,5192.21,88,4561.74,2025-09,0.7333,0.4386,22,30,415.87,269.91,11,1.14,ok,2025-09-25
CMI0301,Florianopolis-Ingleses_Centro-apartamento-SUP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",3,642,703.36,13,1946.5,2025-09,0.2593,0.4466,7,30,161.5,190.36,25,0.36,crítico,2025-09-25
CNU202,Florianopolis-Ingleses_Norte-apartamento-JR-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",13,1126,637.14,14,1500.46,2025-09,0.3529,0.3743,6,30,,168.31,29,0.42,crítico,2025-09-25
EMA0201,Itapema-Meia_Praia-Sul-apartamento-TOP-3Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Meia Praia",10,171,2382.48,20,3415.22,2025-09,0.65,0.3005,13,30,302.18,227.54,13,0.7,atenção,2025-09-25
JBV134,Especial-JBV-hotel-JR-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,1910,5951.37,26,4750.51,2025-09,0.9333,0.5987,28,30,351.38,361.67,9,1.25,ok,2025-09-25
LBH104,São_Miguel_dos_Milagres-Geral-casa-SUP-2Q,Carteira 2,AL,"Passo de Camaragibe, AL","Passo de Camaragibe, AL, Passo de Camaragibe",12,570,2467.72,20,5063.13,2025-09,0.6667,0.4965,12,30,312.0,276.58,19,0.49,crítico,2025-09-25
NWT0710,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,125,5441.19,33,4282.3,2025-09,0.8667,0.6542,26,30,313.43,282.29,17,1.27,ok,2025-09-25
PSO0501,Penha-Beto_Carrero-apartamento-SUP-1Q,Carteira 3,SC,"Penha, SC","Penha, SC, Praia de Armação do Itapocoroi",1,31,3249.65,11,1518.27,2025-09,1.0,0.5812,29,30,165.61,164.23,13,2.14,meta_subestimada,2025-09-25
RHE201,Bombinhas-Mariscal-casa-JR-2Q,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Morrinhos",8,514,1503.8,17,930.75,2025-09,0.7273,0.2339,16,30,133.82,132.57,14,1.62,ok,2025-09-25
ROR0001,Bombinhas-Bombas-apartamento-SUP-2Q,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Bombas",0,724,2504.63,58,1396.61,2025-09,0.8667,0.3613,26,30,153.12,129.83,12,1.79,ok,2025-09-25
RVG0207,Florianopolis-Ingleses_Norte-apartamento-SUP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses Norte",0,140,3657.54,37,2125.85,2025-09,0.7667,0.4226,23,30,229.65,235.0,11,1.72,ok,2025-09-25
SDP0206,Florianopolis-Ingleses_Praia-apartamento-SUP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",7,885,2393.43,29,2344.56,2025-09,0.4783,0.3723,11,30,164.17,216.04,25,1.02,berlinda,2025-09-25
TCO1014,Porto_Alegre-Centro_Historico-apartamento-SUP-1Q,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Centro Histórico",0,511,2028.37,75,2131.42,2025-09,0.7,0.6172,21,30,127.95,131.29,7,0.95,berlinda,2025-09-25
BCA2004,Salvador-Ondina_Rio_Vermelho-apartamento-SUP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Ondina",1,111,2718.32,66,2652.08,2025-09,0.7931,0.6502,23,30,189.14,179.7,10,1.02,berlinda,2025-09-25
CDL0005,Marau-Barra_Grande-casa-TOP-2Q,Carteira 2,BA,"Maraú, BA","Maraú, BA, Barra Grande",5,102,865.65,7,1360.6,2025-09,0.12,0.1383,3,30,400.0,391.7,23,0.64,atenção,2025-09-25
CSF0202,Salvador-Barra-apartamento-SUP-2Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Barra",0,152,5020.88,26,3721.22,2025-09,0.9,0.7166,27,30,249.8,218.09,11,1.35,ok,2025-09-25
ILC3412,Especial-ILC-hotel-JR-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",1,279,5335.4,17,5034.14,2025-09,0.3448,0.5746,10,30,792.0,790.0,24,1.06,berlinda,2025-09-25
IRB203,Florianopolis-Novo_Campeche-apartamento-MASTER-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Campeche",1,899,5340.44,46,4794.96,2025-09,0.7586,0.5428,22,30,449.69,338.83,18,1.11,ok,2025-09-25
MHF1207,Itapema-Canto_Praia-apartamento-TOP-1Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",1,241,1514.48,9,1154.3,2025-09,0.2414,0.3307,7,30,,300.0,29,1.31,ok,2025-09-25
MPB0034,Itajai-Praia_Brava-apartamento-SUP-2Q,Carteira 6,SC,"Itajaí, SC","Itajaí, SC, Praia Brava",4,132,3098.82,11,2139.03,2025-09,0.8077,0.3569,21,30,203.55,180.5,20,1.45,ok,2025-09-25
NWT0905,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,160,5093.69,33,4282.3,2025-09,0.9,0.6542,27,30,252.24,265.23,13,1.19,ok,2025-09-25
NWT1103,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,266,5392.95,33,4282.3,2025-09,0.8667,0.6542,26,30,321.0,285.4,15,1.26,ok,2025-09-25
