listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,atingimento_meta,grupo_criticidade,falta_meta,dias_necessarios,potencial_max,potencial_realista,score_bruto,score_normalizado,prioridade,status_operacional
TCO0512,Porto_Alegre-Centro_Historico-apartamento-SUP-1Q,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Centro Histórico",0,448,2038.69,75,2131.42,2025-09,0.7333,0.6172,22,30,125.75,130.33,18,0.96,berlinda,92.73000000000002,1.0,4384.63,3758.967802,5.670163975190249,39.679715302491104,Baixa,🟢 Abaixo viável
TXP0311,Goiania-Central-apartamento-SUP-2Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Bueno",5,711,3408.49,51,3855.04,2025-09,0.72,0.5718,18,30,236.71,229.23,22,0.88,berlinda,446.5500000000002,2.0,8451.55,7039.493199999999,13.27647138551092,78.29181494661923,Média,🟢 Abaixo viável
VGZ0004,Imbituba-Praia_do_Rosa-casa-SUP-1Q,Carteira 6,SC,"Imbituba, SC","Imbituba, SC, Ibiraquera",3,559,2111.49,58,2136.28,2025-09,0.7778,0.3702,21,30,158.0,133.06,18,0.99,berlinda,24.79000000000042,1.0,4506.57,3974.383224,1.5440660400322315,30.427046263345197,Baixa,🟢 Abaixo viável
ELU109,Florianopolis-Jurere_Tradicional-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,1712,3784.42,17,3641.82,2025-09,0.9,0.4566,27,30,205.06,227.29,14,1.04,berlinda,-142.5999999999999,-0.0,6966.48,6648.273999999999,-8.899823165340399,12.633451957295375,Baixa,🟢 Acima com folga
PGO0406,Pocos_de_Caldas-Geral-apartamento-SUP-1Q,Carteira 4,MG,"Poços de Caldas, MG","Poços de Caldas, MG, São Benedito",0,354,1384.01,31,1625.33,2025-09,0.3667,0.4432,11,30,159.78,142.0,22,0.85,berlinda,241.31999999999994,2.0,4508.01,2529.5808,10.541686918964148,66.72597864768683,Média,🟢 Abaixo viável
SDN042,Bombinhas-Centro-casa-SUP-3Q,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Centro",8,298,3665.06,35,3503.7,2025-09,0.8636,0.2884,19,30,307.64,210.0,1,1.05,berlinda,-161.36000000000013,-0.0,3875.06,3846.416,-9.671375973970383,11.743772241992882,Baixa,🟡 Acima com risco
SWR1502,Goiania-Central-2-apartamento-TOP-2Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Oeste",1,55,4330.78,11,4826.35,2025-09,0.7241,0.6163,21,30,289.12,351.67,6,0.9,berlinda,495.5700000000006,2.0,6440.799999999999,5858.645482,18.054751717136156,87.54448398576513,Crítica,🟢 Abaixo viável
TPS101,Florianopolis-Canasvieiras_Meio-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras",0,956,2507.81,20,2397.6,2025-09,0.8333,0.5347,25,30,156.95,163.7,10,1.05,berlinda,-110.21000000000004,-0.0,4144.8099999999995,3871.9221,-7.524765181848516,16.548042704626333,Baixa,🟢 Acima com folga
ADC104,Florianopolis-Cachoeira_Bom_Jesus-apartamento-TOP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Cachoeira do Bom Jesus",0,427,3395.2,21,4087.65,2025-09,0.5667,0.4109,17,30,304.13,350.93,14,0.83,berlinda,692.4500000000003,2.0,8308.220000000001,6179.408434,29.72386071459153,95.90747330960853,Crítica,🟢 Abaixo viável
NOH1302,Itapema-Meia_Praia-Sul-apartamento-TOP-3Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Castelo Branco",8,28,2906.81,20,3415.22,2025-09,0.8182,0.3005,18,30,250.4,244.0,5,0.85,berlinda,508.40999999999985,3.0,4126.8099999999995,3905.014,12.107764653521581,74.37722419928826,Média,🟢 Abaixo viável
